asset,time,headline_count,positive,negative,neutral,score,confidence
BNB/USDT,2021-01-01T00:00:00+00:00,10,1,0,9,0.1,0.8708
BNB/USDT,2021-01-01T04:00:00+00:00,3,1,0,2,0.3333,0.8682
BNB/USDT,2021-01-01T08:00:00+00:00,10,8,0,2,0.8,0.7952
BNB/USDT,2021-01-01T12:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-01T16:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-01T20:00:00+00:00,1,0,0,1,0.0,0.7527
BNB/USDT,2021-01-02T00:00:00+00:00,0,0,0,0,0.0,0.0
BNB/USDT,2021-01-02T04:00:00+00:00,8,3,5,0,-0.25,0.8249
BNB/USDT,2021-01-02T08:00:00+00:00,8,6,0,2,0.75,0.7246
BNB/USDT,2021-01-02T12:00:00+00:00,4,0,1,3,-0.25,0.8491
BNB/USDT,2021-01-02T16:00:00+00:00,5,2,1,2,0.2,0.6077
BNB/USDT,2021-01-02T20:00:00+00:00,5,0,0,5,0.0,0.69
BNB/USDT,2021-01-03T00:00:00+00:00,5,2,2,1,0.0,0.9036
BNB/USDT,2021-01-03T04:00:00+00:00,7,1,3,3,-0.2857,0.5394
BNB/USDT,2021-01-03T08:00:00+00:00,4,4,0,0,1.0,0.7887
BNB/USDT,2021-01-03T12:00:00+00:00,1,0,0,1,0.0,0.8865
BNB/USDT,2021-01-03T16:00:00+00:00,1,0,0,1,0.0,0.6901
BNB/USDT,2021-01-03T20:00:00+00:00,7,5,0,2,0.7143,0.6851
BNB/USDT,2021-01-04T00:00:00+00:00,3,2,0,1,0.6667,0.8046
BNB/USDT,2021-01-04T04:00:00+00:00,2,2,0,0,1.0,0.5817
BNB/USDT,2021-01-04T08:00:00+00:00,6,2,4,0,-0.3333,0.6098
BNB/USDT,2021-01-04T12:00:00+00:00,5,0,1,4,-0.2,0.9109
BNB/USDT,2021-01-04T16:00:00+00:00,5,3,1,1,0.4,0.5331
BNB/USDT,2021-01-04T20:00:00+00:00,9,5,1,3,0.4444,0.8277
